         953660 function calls (838464 primitive calls) in 9.611 seconds

   Ordered by: cumulative time
   List reduced from 1606 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.540    0.036 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/_tensor.py:592(backward)
       15    0.000    0.000    0.540    0.036 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/autograd/__init__.py:243(backward)
       15    0.000    0.000    0.537    0.036 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/autograd/graph.py:815(_engine_run_backward)
       15    0.537    0.036    0.537    0.036 {method 'run_backward' of 'torch._C._EngineBase' objects}
        3    0.000    0.000    0.476    0.159 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/urllib3/connection.py:485(getresponse)
        3    0.000    0.000    0.475    0.158 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/http/client.py:1384(getresponse)
        3    0.000    0.000    0.475    0.158 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/http/client.py:324(begin)
        3    0.000    0.000    0.473    0.158 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/http/client.py:291(_read_status)
       69    0.000    0.000    0.473    0.007 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.473    0.158 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/socket.py:706(readinto)
        3    0.000    0.000    0.473    0.158 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/ssl.py:1236(recv_into)
        3    0.000    0.000    0.473    0.158 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/ssl.py:1094(read)
        3    0.473    0.158    0.473    0.158 {method 'read' of '_ssl._SSLSocket' objects}
     3564    0.002    0.000    0.465    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/models/distilbert/modeling_distilbert.py:426(forward)
     3564    0.005    0.000    0.463    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/pytorch_utils.py:178(apply_chunking_to_forward)
     3564    0.010    0.000    0.372    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/models/distilbert/modeling_distilbert.py:429(ff_chunk)
        1    0.000    0.000    0.360    0.360 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1228(to)
     94/1    0.001    0.000    0.360    0.360 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/nn/modules/module.py:912(_apply)
      103    0.000    0.000    0.358    0.003 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1332(convert)
     3564    0.342    0.000    0.342    0.000 {built-in method torch._C._nn.scaled_dot_product_attention}
     2537    0.314    0.000    0.314    0.000 {method 'item' of 'torch._C.TensorBase' objects}
        3    0.000    0.000    0.242    0.081 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.242    0.242 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/urllib3/connection.py:669(connect)
      594    0.035    0.000    0.228    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/models/distilbert/modeling_distilbert.py:102(forward)
        1    0.000    0.000    0.220    0.220 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.220    0.220 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:410(ssl_wrap_socket)
        1    0.000    0.000    0.220    0.220 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:508(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.220    0.220 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/ssl.py:449(wrap_socket)
        1    0.000    0.000    0.220    0.220 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/ssl.py:955(_create)
        1    0.000    0.000    0.220    0.220 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/ssl.py:1312(do_handshake)
        1    0.220    0.220    0.220    0.220 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      2/1    0.000    0.000    0.188    0.188 /Users/mfine/Exa/rank-test/src/rank_test/train.py:39(create_dataloaders)
      3/2    0.000    0.000    0.188    0.094 /Users/mfine/Exa/rank-test/src/rank_test/dataset.py:54(__init__)
      3/2    0.000    0.000    0.187    0.093 /Users/mfine/Exa/rank-test/src/rank_test/dataset.py:99(_create_batches)
       16    0.007    0.000    0.185    0.012 /Users/mfine/Exa/rank-test/src/rank_test/dataset.py:23(process_batch)
      132    0.000    0.000    0.150    0.001 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2810(__call__)
      132    0.000    0.000    0.149    0.001 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2902(_call_one)
      132    0.001    0.000    0.146    0.001 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:498(_batch_encode_plus)
       15    0.002    0.000    0.142    0.009 /Users/mfine/Exa/rank-test/src/rank_test/transforms.py:31(infonce_batch_transform)
        1    0.000    0.000    0.135    0.135 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/configuration_utils.py:457(from_pretrained)
        1    0.000    0.000    0.132    0.132 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1831(from_pretrained)
     1530    0.132    0.000    0.132    0.000 {method 'addcmul_' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    0.132    0.066 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/configuration_utils.py:570(get_config_dict)
        2    0.000    0.000    0.132    0.066 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/configuration_utils.py:605(_get_config_dict)
     1530    0.125    0.000    0.125    0.000 {method 'lerp_' of 'torch._C.TensorBase' objects}
